reference,local-plan,local-planning-authority,required-housing,committed-housing,allocated-housing,broad-locations-housing,windfall-housing,entry-date,start-date,end-date,notes
adur-district-council-local-plan-2011-1,adur-district-council-local-plan-2011,,6825,439,2050,0,416,2026-01-30,,,"Required housing is OAN of 6,825 but delivery target is only 3,718 due to constraints. Allocated housing includes New Monks Farm (600), West Sompting (480), and Shoreham Harbour (970). Completions 2011-2016 (559) and SHLAA sites (254) make up remaining supply."
arun-district-council-local-plan-2011-1,arun-district-council-local-plan-2011,,20000,3970,12421,,847,2026-01-30,,,"Required housing is 'at least 20,000'. Allocated housing includes Strategic Site Allocations (10,750), Neighbourhood Plan Allocations (421), Deliverable HELAA sites (530) and Non-Strategic Sites (1,250). Committed housing includes completions (3,669), large site commitments (3,050) and small site commitments (251). Annual requirement is phased but averages 1,000 per year."
chichester-district-council-local-plan-2021-1,chichester-district-council-local-plan-2021,,11484,7583,7583,1050,,2026-01-30,,,"Stepped requirement: 575 dpa 2021/22-2029/30, then 701 dpa 2030/31-2038/39. Committed housing includes 2,326 completions + 5,257 permissions/commitments. Strategic allocations total 7,500+ dwellings. Plan area excludes South Downs National Park."
city-of-wolverhampton-council-local-plan-2042-1,city-of-wolverhampton-council-local-plan-2042,,13411,7118,,3002,,2026-01-30,,,"Net dwellings 2006-26. Includes regeneration corridors (3002), strategic centre (1100), free-standing employment sites (306), housing renewal sites (-1175), and other capacity (1966)"
east-riding-of-yorkshire-council-local-plan-2020-1,east-riding-of-yorkshire-council-local-plan-2020,,20900,9816,7261,,4647,2026-01-30,,,Required housing is net additional dwellings 2020-2039. Committed housing includes dwellings with planning permission as of April 2023. Allocated housing is capacity of allocated sites without planning permission. Windfall allowance is for 2023-2039 period.
epsom-and-ewell-borough-council-local-plan-2022-1,epsom-and-ewell-borough-council-local-plan-2022,,2715,1691,257,,767,2026-01-30,,,"Based on South East Plan requirement of 181 dwellings per annum 2007-2022. Windfall includes medium sites (495) and small sites (272). Commitments include large sites under construction (351), forthcoming large sites (888), medium sites (149) and small sites (209)."
horsham-district-council-local-plan-1,horsham-district-council-local-plan,,16000,,3250,,750,2026-01-30,,,"Total requirement 16,000 homes at 800 per annum. Strategic sites: 2,500 at Land North of Horsham, 600 at Land West of Southwater, 150 at Land South of Billingshurst. Plan also includes 1,500 homes through Neighbourhood Planning and 750 windfall units."
london-borough-of-barking-and-dagenham-local-plan-2020-1,london-borough-of-barking-and-dagenham-local-plan-2020,,38864,,,,853,2026-01-30,,,"Stepped requirements: 2121 p.a. (2020-2028/29), 2876 p.a. (2029-2033/34), 2085 p.a. (2034-2037). Housing supply of over 40,000 homes anticipated from Strategic Area policies. Windfall figure includes 472 homes from small sites and 381 homes expected/delivered through general windfall."
london-borough-of-barnet-local-plan-2021-1,london-borough-of-barnet-local-plan-2021,,35460,,13331,,6500,2026-01-30,,,"London Plan sets minimum target of 2,364 homes per annum. Plan proposes to meet and exceed this target. Allocated housing is from Schedule of Proposals sites. Windfall represents small sites target (434 per annum × 15 years). Strategic target is 50% affordable housing."
sandwell-metropolitan-borough-council-local-plan-2024-1,sandwell-metropolitan-borough-council-local-plan-2024,,21489,6998,,13166,,2026-01-30,,,"Net dwellings 2006-26. Includes regeneration corridors (13166), free-standing employment sites (714), housing renewal sites (-3031), and other capacity (901)"
south-staffordshire-council-local-plan-2006-1,south-staffordshire-council-local-plan-2006,,3850,2244,,1610,,2026-01-30,,,"Total target 3850 homes 2006-2028 (175 pa). As of April 2010: 2,244 completed/committed, leaving 1,606 (rounded to 1,610) to be distributed across villages via future Site Allocations DPD. Committed figure includes 1,224 completions + 1,020 permissions/under construction."
the-babergh-and-mid-suffolk-joint-local-plan-1,the-babergh-and-mid-suffolk-joint-local-plan,,7904,4939,,,500,2026-01-30,,,"Plan relies heavily on existing commitments (85% of requirement). Part 2 Plan will address 1,191 dwelling shortfall through allocations if necessary."
west-berkshire-council-local-plan-2023-1,west-berkshire-council-local-plan-2023,,9270,1820,5507,,2166,2026-01-30,,,"Housing requirement is 9,270 net additional homes (515 per annum). Total supply is 9,493 including allocations (5,507), existing commitments (1,729), C2 commitments (91), and windfall allowance (2,166). Strategic sites include Sandleford Park (1,500 homes) and North East Thatcham (up to 2,500 homes with 1,760 in plan period)."
wirral-metropolitan-borough-council-local-plan-2022-1,wirral-metropolitan-borough-council-local-plan-2022,,14400,1546,8734,,1934,2026-01-30,,,"Total supply is 11,814 after 10% discount applied. Required housing is 800 dwellings per year (750 per annum based on standard methodology plus 50 for demolitions). Housing delivery varies by phase: 500 dpa years 0-5, 850 dpa years 6-10, 1,025 dpa years 11 onward. Major focus on regeneration areas providing approximately 50% of planned growth."
wokingham-borough-council-local-plan-2023-1,wokingham-borough-council-local-plan-2023,,13230,2373,10000,10000,1000,2026-01-30,,,"Provision will be made for the development of at least 13,230 dwellings and associated development and infrastructure in the Borough in the period 2006-2026 for which substantial investment in infrastructure will be required. These will be provided in the following phases: April 2006 to March 2011 – 600 dwellings average per annum; April 2011 to March 2016 – 700 dwellings average per annum; April 2016 to March 2021 – 723 dwellings average per annum; April 2021 to March 2026 – 623 dwellings average per annum."
