reference,name,description,local-plan,document-types,documentation-url,document-url,entry-date,start-date,end-date,notes
adur-district-council-local-plan-2011-1,Adur Local Plan 2017 (adopted) - Complete document,,adur-district-council-local-plan-2011,local-plan,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,159572,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-10,Adur Local Plan 2017 - Adoption Statement,,adur-district-council-local-plan-2011,adoption-statement,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,147019,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-11,Adur Local Plan 2017 (adopted) - Sustainability Appraisal - Post Adoption Statement,,adur-district-council-local-plan-2011,adoption-statement,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,147020,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-12,Publication of Inspector's Report - Adur Local Plan,,adur-district-council-local-plan-2011,inspectors-report,https://www.adur-worthing.gov.uk/alp-examination/,"https://www.adur-worthing.gov.uk/media/Media,146237,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-13,Main Modifications Appendix - Adur Local Plan,,adur-district-council-local-plan-2011,main-modifications,https://www.adur-worthing.gov.uk/alp-examination/,"https://www.adur-worthing.gov.uk/media/Media,146238,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-14,ALP Policies Map 2017 LGG review,,adur-district-council-local-plan-2011,policies-map,https://www.adur-worthing.gov.uk/alp-examination/,"https://www.adur-worthing.gov.uk/media/Media,144120,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-2,Adur Local Plan 2017 (adopted) - Part 1,,adur-district-council-local-plan-2011,local-plan,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,147013,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-3,Adur Local Plan 2017 (adopted) - Part 2,,adur-district-council-local-plan-2011,local-plan,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,147015,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-4,Adur Local Plan 2017 (adopted) - Part 3,,adur-district-council-local-plan-2011,local-plan,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,147016,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-5,Adur Local Plan 2017 (adopted) - Part 4,,adur-district-council-local-plan-2011,local-plan,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,147017,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-6,Adur Local Plan 2017 (adopted) - Appendices,,adur-district-council-local-plan-2011,local-plan,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,147018,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-7,Adur Policies Map 2019,,adur-district-council-local-plan-2011,policies-map,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,156286,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-8,"Adur Policies Map 2019 - Inset maps 1, 2 & 3 (Shoreham, Lancing and Southwick town centres)",,adur-district-council-local-plan-2011,retail-and-town-centre-study,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,156287,smxx.pdf",2026-01-30,2017-12-14,,
adur-district-council-local-plan-2011-9,Adur Policies Map 2019 - Inset map 4 (Shoreham Harbour Regeneration Area),,adur-district-council-local-plan-2011,policies-map,https://www.adur-worthing.gov.uk/adur-local-plan/,"https://www.adur-worthing.gov.uk/media/Media,156288,smxx.pdf",2026-01-30,2017-12-14,,
arun-district-council-local-plan-2011-1,Adopted Local Plan,,arun-district-council-local-plan-2011,local-plan-adopted,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12844.pdf&ver=12984,2026-01-30,2018-07-18,,
arun-district-council-local-plan-2011-2,Local Plan Policy Map 1 (District Wide) - Update 2018 V23,,arun-district-council-local-plan-2011,policies-map,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12918.pdf&ver=13058,2026-01-30,2018-07-18,,
arun-district-council-local-plan-2011-3,Local Plan Policy Map 2 (Central) - Update September 2018 V1,,arun-district-council-local-plan-2011,policies-map,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12919.pdf&ver=13059,2026-01-30,2018-07-18,,
